AD | AS6752 | Andorra Telecom
PH | AS131465 | Marbel Telephone System
PH | AS131609 | Yuan Cheng Co.
PH | AS131891 | Cebu Air Inc.
PH | AS132021 | Kalibo Cable Television Network Inc
PH | AS132046 | Sunbridge worldwide LTD
PH | AS132054 | Rising Star Cable TV Services
PH | AS132059 | 762 Quirino Highway
PH | AS132141 | Penthouse
PH | AS132150 | ValueLabs Technologies
PH | AS132193 | Social Security System
PH | AS132199 | Globe Telecom Inc.
PH | AS132209 | VITRO INC.
PH | AS132212 | IGT-INTERGLOBE TECHNOLOGIES PHILIPPINES INC.
PH | AS132229 | 8F Tower 2 The Rockwell Business Center
PH | AS132233 | Fourleaf Consulting Network and Data Solution
PH | AS132313 | Calauag Cat V System
PH | AS132400 | COMMUNITY CABLE VISION CORPORATION
PH | AS132454 | Philippine Telegraph and Telephone Corporation
PH | AS132464 | Barbaza Multi-Purpose Cooperative
PH | AS132505 | Concentrix Daksh Services Philippines Corporation
PH | AS132554 | Ateneo de Manila University
PH | AS132595 | Solutions Experts and Enablers Inc.
PH | AS132615 | Pipol Broadband
PH | AS132714 | Airfiber's Internet Shop
PH | AS132716 | 1 Solaire Boulevard
PH | AS132721 | Gartech Network and Data Solution
PH | AS132792 | University of the Philippines Visayas
PH | AS132793 | University of the Philippines Visayas
PH | AS132794 | University of the Philippines Mindanao Campus
PH | AS132795 | University of the Philippines Visayas
PH | AS132796 | University of the Philippines Baguio Campus
PH | AS132843 | Digital Advantage Corp.
PH | AS132844 | Ateneo de Manila University
PH | AS132905 | AS number of Ateneo de Davao University
PH | AS133064 | SLMC INFRASTRUCTURE
PH | AS133068 | China Online Innovations Inc
PH | AS133098 | Metropolitan Bank and Trust Company
PH | AS133131 | NEW VISION SATELLITE NETWORK INC.
PH | AS133195 | PERFETTI VAN MELLE ASIA PACIFIC PTE LTD - ROHQ
PH | AS133198 | iOne Resources
PH | AS133334 | DCTV Cable Network Broadband Services Inc
PH | AS133377 | IBM Business Services
PH | AS133436 | KONTAK ONE MANAGEMENT EXCHANGE
PH | AS133464 | RTDS Network ICT Solutions Inc.
PH | AS133498 | De La Salle University
PH | AS133585 | Bee Information Technology PH Inc.
PH | AS133623 | Planet Cable Inc.
PH | AS133778 | GY Consultancy Group Inc.
PH | AS133872 | EYGBS (India) Pvt Ltd
PH | AS133922 | Robcom Networks Inc.
PH | AS134084 | TOSLINK INC.
PH | AS134140 | Philippine Long Distance Telephone Co.
PH | AS134154 | Sitel Philippines Corporation
PH | AS134182 | Pacificweb Internet Services Inc.
PH | AS134213 | Netify Communications Corp.
PH | AS134216 | GLERCIMOR NETWORK AND DATA SOLUTION
PH | AS134241 | M7 Telecommunications Corporation
PH | AS134414 | De La Salle-Greenhills
PH | AS134415 | De La Salle - College of Saint Benilde
PH | AS134416 | De La Salle-Zobel
PH | AS134431 | News and Entertainment Network Corp
PH | AS134497 | Cine Cebu
PH | AS134564 | NETFACTORY
PH | AS134672 | Aquoz Solutions Inc
PH | AS134707 | RoyalCable Flash
PH | AS134716 | Savant Technologies Inc.
PH | AS134788 | Parasat Cable TV
PH | AS134802 | Naic Cable TV Corp.
PH | AS134966 | Southern CableVision Inc.
PH | AS134996 | BSITC PHILS.
PH | AS135025 | Nexlogic Telecommunications Network
PH | AS135028 | GEMSTAR CABLE TV
PH | AS135122 | MILLAWAVE
PH | AS135132 | Dreamscape Networks Inc.
PH | AS135162 | eUP-University of the Philippines System
PH | AS135270 | NasdaqOMX
PH | AS135283 | Makilala Cable TV
PH | AS135325 | EWS DS Networks Inc
PH | AS135345 | NewMountainView Satellite Corporation
PH | AS135366 | Zafra Cable TV Network Inc.
PH | AS135409 | Kacific Broadband Satellites Pte Ltd
PH | AS135423 | Total Information Management Corporation
PH | AS135495 | Independent Telephone Company Inc.
PH | AS135499 | Tiger Resort Leisure & Entertainment
PH | AS135549 | NEW WORLD CATV
PH | AS135556 | MULTIFACTORS SALES
PH | AS135582 | Galaxy Cable Corp.
PH | AS135592 | Solaire Resort & Casino
PH | AS135594 | Kabayan Cable Tv Systems Inc.
PH | AS135607 | Infinivan Incorporated
PH | AS135643 | Automated Technologies Inc
PH | AS135645 | Sureste Properties
PH | AS136216 | Channel Information Technology Support and Leasing Services Inc.
PH | AS136244 | Panay Broadband / Buenavista Cable TV Inc.
PH | AS136260 | IPOINTEAST INC.
PH | AS136404 | BICOLANDIA CABLE TV INCORPORATED
PH | AS136433 | Medrozo IT Solutions
PH | AS136503 | Personal Collection Direct Selling
PH | AS136513 | Corporate Technologies Incorporated
PH | AS136515 | Dasca Cable Services
PH | AS136773 | BDO Unibank Inc
PH | AS136777 | 247 Customer Philippiness inc
PH | AS136803 | TELMARC CORPORATION
PH | AS136929 | Meridian Cable TV
PH | AS136982 | Integranet Network Services
PH | AS137074 | Responsible Internet Sustainability Effort
PH | AS137184 | Suniway Group of Companies Inc.
PH | AS137193 | Agera Network and Data Solution
PH | AS137208 | ILEAD ICT SOLUTIONS INC
PH | AS137226 | ANGELES CITY CABLE TELEVISION NETWORK
PH | AS137239 | Fil Products Service Television Incorporated
PH | AS137248 | GNET Technologies
PH | AS137404 | KCAT
PH | AS137406 | Airlive Communications Inc.
PH | AS137418 | Savant Technologies Inc.
PH | AS137420 | Savant Technologies Inc.
PH | AS137487 | Manila Electric Company
PH | AS137507 | OpenText ( Philippines)
PH | AS137818 | Panay Telephone Corporation
PH | AS137827 | Cygnal Technologies
PH | AS137846 | Sharp Viewing Entertainment Corporation
PH | AS137848 | Mitztianpc Wired Internet Services
PH | AS137936 | RDTECH IT SOLUTIONS
PH | AS137941 | Mabuhay Cable TV Inc
PH | AS137996 | HGC Global Communications (Philippines)
PH | AS138025 | RBC Cable Master System
PH | AS138147 | Philippine Cable Television Association
PH | AS138185 | LUKBAN TELEPHONE SYSTEM
PH | AS138218 | ABOITIZ EQUITY VENTURES INC.
PH | AS138333 | SEKYURLINK Networks
PH | AS138496 | Inspiro Relia
PH | AS138540 | The Insular Life Assurance Company
PH | AS138543 | Cablevision Systems Corporation
PH | AS138569 | Tech2go Strategic IT Solutions
PH | AS138678 | Grandbo Technology Development Corporation
PH | AS138689 | CONCEPCION PAY-TV NETWORK
PH | AS138916 | Personal Collection Direct Selling
PH | AS138929 | Cebu Cable TV Management Corporation
PH | AS138956 | Miriam College
PH | AS138958 | Tandag Electric & Telephone Company Inc.
PH | AS138961 | Paradise Cable Television Network
PH | AS138965 | Streamtech Systems Technologies Inc.
PH | AS138969 | Marbel Services and Television System
PH | AS138970 | Wesfardell Cable Services
PH | AS138975 | Claveria Agribased Multipurpose Cooperative
PH | AS138987 | CHARLES CATV SYSTEMS INC
PH | AS138989 | Pisopay.com Inc.
PH | AS139034 | Sattelite Plus Incorporated
PH | AS139040 | CANON BUSINESS PROCESS SERVICES PHILIPPINES
PH | AS139204 | RACITELCOM Inc.
PH | AS139213 | Hillview Cable Systems
PH | AS139238 | Infinity Broadband INC.
PH | AS139265 | V&M INFORMATION TECHNOLOGY INC.
PH | AS139333 | Global Agility Solutions
PH | AS139350 | Solaire Resort & Casino
PH | AS139464 | KMC Mag Solutions
PH | AS139614 | BANGKO SENTRAL NG PILIPINAS
PH | AS139626 | 2GO Group
PH | AS139630 | Telectronic Systems Inc.
PH | AS139698 | Ikonek Network Telecom Inc.
PH | AS139752 | Multinetwork Cable Television
PH | AS139798 | LizardBear Tasking Inc
PH | AS139831 | DITO TELECOMMUNITY CORP.
PH | AS139833 | Cable Television Network Inc.
PH | AS139846 | StarCable
PH | AS139852 | Home Credit Philippines
PH | AS139855 | BIT(Brother Internet Technology)
PH | AS139900 | RELIANCE CATV AND ENTERTAINMENT SERVICES
PH | AS140243 | CMD Cable Vision
PH | AS140323 | ALLASTRILLA ENTERPRISES
PH | AS140549 | SHIFT DATA SERVICES INC
PH | AS140593 | ULAP Networks Inc.
PH | AS140599 | COMFAC CORPORATION
PH | AS140619 | JSLINK INTERNATIONAL CORPORATION
PH | AS140630 | JSLINK INTERNATIONAL CORPORATION
PH | AS140686 | Nabunturan Cable TV Network Inc.
PH | AS140708 | VITRO INC.
PH | AS140715 | KF Network Limited Corp.
PH | AS140722 | Bureau of the Treasury
PH | AS140734 | Watch Tower Bible and Tract Society of the Philippines
PH | AS140878 | Philippine National Police
PH | AS140927 | SKY MOVIE PHILIPPINES CATV
PH | AS140975 | Comsat Cable Supplies and Services
PH | AS140984 | WTW HIGHTECH COMPANY INC
PH | AS141013 | Responsible Internet Sustainability Effort
PH | AS141016 | SM Investments Corporation
PH | AS141152 | BATAAN SPACE CABLE NETWORK INC
PH | AS141196 | DEPARTMENT OF INFORMATION AND COMMUNICATION TECHNOLOGY
PH | AS141210 | Grand Unicom Corp
PH | AS141238 | Qualfon is a business process outsourcing company providing contact center services for various companies around thew world.
PH | AS141455 | Halum Properties (HALPROP) Inc.
PH | AS141676 | St. Joseph Cable TV System
PH | AS141686 | LizardBear Tasking Inc.
PH | AS141709 | Clare Cable TeleVision
PH | AS141754 | Emapta Versatile Services Inc
PH | AS141994 | Ocean Wave Communications Philippine Corp.
PH | AS142009 | Misamis Cable Management and Development Corp
PH | AS142056 | Tectonics Electronics Marketing
PH | AS142121 | uniBeam Incorporated
PH | AS142177 | Deatras Network and Data Solution
PH | AS142187 | PROTECTIV IT SECURITY INC
PH | AS142263 | NETINFINIUM SOLUTIONS SDN BHD
PH | AS142271 | EWS DS Networks Inc
PH | AS142285 | KEITH.NET INCORPORATED
PH | AS142414 | MALASIMBU CATV CORP
PH | AS142416 | Itiviti Philippines
PH | AS142424 | Unique Cable Network
PH | AS142555 | Z-ENERGY CATV NETWORK
PH | AS142581 | Mambulao Cable Television
PH | AS142629 | GigaFiber Corp.
PH | AS142649 | Limitless-Tech Solutions
PH | AS146948 | Rural Bank of Guinobatan
PH | AS146954 | IMJWANKLIK INTERNET COMMUNICATION SERVICES
PH | AS147014 | SOLUTION PROVIDER
PH | AS147042 | Panabo Satellite Cable Television Inc.
PH | AS147044 | TECH MAHINDRA
PH | AS147174 | POLARIS CABLE VISION INC.
PH | AS147178 | TierOne Communications International Inc
PH | AS149022 | Cloud Net Cable and Telecom Inc.
PH | AS149027 | Neo-Tech Asia Distribution Inc.
PH | AS149170 | TOLEDO CABLE TV
PH | AS149282 | Kyushu Telecom Global Limited
PH | AS149299 | CABLESTAR
PH | AS149509 | Xfiniti Internet Communication Services
PH | AS149519 | TIGER RESORT LEISURE AND ENTERTAINMENT INC.
PH | AS149635 | BICOL TELEPHONE AND TELEGRAPH INC.
PH | AS149645 | Spectrum Cable network and broadband
PH | AS149802 | MT Cable Television Network
PH | AS149825 | RFi Fiber
PH | AS149833 | Wrkpod Inc.
PH | AS149835 | JFTECH IT SOLUTIONS
PH | AS149848 | CELEBRITY CABLE NETWORK INC
PH | AS150000 | Data-Beam Business Solution
PH | AS150431 | ADS Cable TV Network
PH | AS150447 | Woofy Incorporated
PH | AS150450 | Kinahugan Bojol Communications
PH | AS150704 | DEARBC Connect
PH | AS150707 | Romblon Cable Corporation
PH | AS150749 | AF Tech I.T. Solutions
PH | AS150786 | Maharlika Connect Inc
PH | AS150806 | R. C. Yulo Telephone System
PH | AS151049 | ATSS NETWORK AND DATA SOLUTION
PH | AS151066 | Imperial network inc
PH | AS151317 | Librify
PH | AS151324 | BONGAO CABLE TV - ISABELA
PH | AS151346 | MIaaS Cloud Services
PH | AS151351 | NICO ZERO THREE TRADING & SERVICES
PH | AS151354 | MCBROAD IT SOLUTIONS
PH | AS151360 | SONIC NETWORKS PHL INC.
PH | AS151366 | AKM INTERNET INSTALLATION SERVICES
PH | AS151405 | WISE CABLE TV
PH | AS151408 | Fil Products Service Television of Calbayog Inc.
PH | AS151465 | CULASI CATV INC.
PH | AS151622 | Earthstar Solution Co.
PH | AS151627 | KC Broadband Inc.
PH | AS151633 | Archon Network and Data Solution
PH | AS151650 | Switch Fiber
PH | AS151652 | ZSG Internet Communication Services
PH | AS151653 | General Telephone System Inc.
PH | AS151678 | Iriga Telephone Company Inc.
PH | AS151788 | EAGLE VISION
PH | AS151789 | Philippine National Computer Emergency Response Team
PH | AS152107 | Fiberbro Internet Communication Services Corp.
PH | AS152131 | ILEAD NETWORK CORPORATION
PH | AS152135 | Cubiscomm Signal Sales
PH | AS152141 | R-NET Wired Internet Services
PH | AS152152 | SOLETECH IT SOLUTIONS
PH | AS152172 | PSALMS CABLE
PH | AS152173 | Robinsons Bank Corporation
PH | AS152297 | PLANETNET NETWORK AND DATA SOLUTION
PH | AS152326 | RTI-PLDT Network Infra
PH | AS152335 | CONVERGE INFORMATION AND COMMUNICATIONS TECHNOLOGY SOLUTIONS
PH | AS152458 | HAPIBYTES
PH | AS152478 | BICOL ONE BROADBAND SERVICES INC.
PH | AS152584 | Infinivan Incorporated
PH | AS152680 | GLIPPH
PH | AS152681 | FMKC TELECOM INC.
PH | AS152687 | Macrologic Diversified Technologies Inc.
PH | AS152907 | PANAY TELEPHONE CORPORATION II
PH | AS153055 | TAMARAW VISION NETWORK INC.
PH | AS153166 | PAKONEK SOLUTIONS INC.
PH | AS153174 | Aioni Digital and Data Solutions Inc.
PH | AS153175 | Tiny Redbug Enterprising Network and Data Solution
PH | AS153191 | DNS NETWORK AND DATA SOLUTION
PH | AS153200 | cyber peers
PH | AS153322 | Persian Cable TV Network
PH | AS153351 | Alcesski Information Technology Solutions
PH | AS153359 | Imtech Solution and Data Providers
PH | AS153455 | G Links Solution
PH | AS153469 | Linkserve Telecommunications Network
PH | AS153495 | OFiber
PH | AS153644 | RVNET ELECTRONICS AND TELECOMMUNICATION PARTS AND EQUIPMENT RETAILING
PH | AS153684 | Canon Australia Pty. Ltd.
PH | AS153689 | SIQUIJOR ISLAND CABLE TV SYSTEMS CORPORATION
PH | AS153691 | Will Connect Internet Communication Services
PH | AS153692 | Digital Essentials Trading
PH | AS153695 | Kuya J Network Seven Infinity IT Solutions
PH | AS153719 | Queens link technology Inc.
PH | AS153736 | DSN Fiber
PH | AS153739 | G-Net IT Systems OPC
PH | AS153789 | Cliantech Internet
PH | AS153793 | Kingred Network
PH | AS153855 | RDNAKS NETWORK AND DATA SOLUTION
PH | AS153856 | ZZNET
PH | AS153862 | CloudSecure Consultancy and Services Inc.
PH | AS153869 | Newisland Media Vision
PH | AS153908 | Corona Telecoms
PH | AS153912 | AMIA PISONET
PH | AS153969 | JVL STAR CABLE TV
PH | AS153989 | Jamers Digital Computer Parts and Accessories Trading
PH | AS154002 | iRateNet Solutions
PH | AS154031 | Sierra.Net Network & Data Solution
PH | AS154040 | AIRDAN NETWORKS CORPORATION
PH | AS154080 | Ignite Telecommunications Inc
PH | AS154083 | DC FIBER NETWORK WIRED INTERNET SERVICES
PH | AS154180 | RNDS Network
PH | AS154184 | JAT I.T. SERVICES
PH | AS154200 | JUJIEDSO FIBR WIRED INTERNET SERVICES
PH | AS154227 | Go Wiser Corporation
PH | AS154236 | JustConnect Installation Solutions Inc.
PH | AS154242 | Data Works Solutions Corporation
PH | AS154257 | SANFIL NETWORK AND DATA SOLUTION
PH | AS154260 | KAZIBUFAST HOTSPOT NET & PISONET
PH | AS154261 | BF DOMINGO ENTERPRISES
PH | AS154262 | Your Tech Electronics and Your Shop Enterprise
PH | AS154267 | JMJR ENTERPRISES OPC
PH | AS154273 | DMCI Project Developers
PH | AS154285 | Exe Network and Data Solution
PH | AS154287 | R-Connect
PH | AS154335 | NAYSWAN NETWORK AND DATA SOLUTION
PH | AS154355 | CABSTECH NETWORK AND DATA SOLUTION
PH | AS154409 | Powerlink Technologies Inc
PH | AS154424 | Jrev IT Solutions
PH | AS154429 | JAPTECH ELECTRONIC IT SOLUTIONS
PH | AS154443 | Kmhars IT Solutions Corporation
PH | AS154524 | FiberFlow Technologies Inc.
PH | AS154601 | Aklan Cable Television Co.
PH | AS154613 | CYBER PEERS COMMUNICATIONS INC.
PH | AS154635 | G-Connect Systems & Trading Corp.
PH | AS154658 | Trident Network Wireless Internet Services
PH | AS197291 | Ken Marfilla
PH | AS199676 | John Leo Navarro
PH | AS209612 | Curt Creation
PH | AS213884 | Reynaldo Papahan trading as FAST-FIBER NETWORK AND DATA SOLUTION
PH | AS215150 | Maurin ASN
PH | AS394869 | Asia Pacific Network Corporation
PK | AS4661 | PTCL MMBB DATA CENTRE
PK | AS7590 | Commission on Science and Technology for
PK | AS9260 | Multinet Pakistan Pvt. Ltd.
PK | AS9387 | SHARP TELECOM (PRIVATE) LIMITED
PK | AS9541 | Cyber Internet Services (Pvt) Ltd.
PK | AS9557 | Paknet Limited Merged into PTCL
PK | AS9937 | Delta Networks
PK | AS15347 | IBEX Global Solutions
PK | AS17539 | NetSol Connect
PK | AS17557 | Pakistan Telecommunication Company Limited
PK | AS17563 | Autonomous System Number for Nexlinx
PK | AS17787 | Pakistan Software Export Board
PK | AS17911 | Brain Telecommunication Ltd.
PK | AS18053 | Special Communication Organization
PK | AS18173 | Aga Khan University
PK | AS18212 | National Institutional Facilitation Technologies
PK | AS18359 | Pak-Qatar General Takaful Limited
PK | AS23674 | Nayatel (Pvt) Ltd
PK | AS23750 | GERRYS INFORMATION TECHNOLOGY PVT LTD.
PK | AS23888 | National Telecommunication Corporation HQ
PK | AS23966 | LINKdotNET Telecom Limited
PK | AS24105 | Green Broadband
PK | AS24435 | Supernet Limited Transit Autonomous System Number
PK | AS24440 | Cyber Internet Services Pakistan
PK | AS24499 | Telenor Pakistan
PK | AS37973 | IMC
PK | AS38166 | Standard Chartered Bank (Hong Kong) Limited.Banking and
PK | AS38193 | Transworld Associates (Pvt.) Ltd.
PK | AS38264 | National WiMAX/IMS environment
PK | AS38488 | Telecard Limited
PK | AS38547 | WITRIBE PAKISTAN LIMITED
PK | AS38584 | CubeXS Pvt Ltd
PK | AS38710 | Worldcall Broadband Limited
PK | AS38713 | Broadband ISP
PK | AS45195 | CDC House
PK | AS45446 | My Solutions Corporation Ltd.
PK | AS45595 | Pakistan Telecom Company Limited
PK | AS45669 | PMCL /LDI IP TRANSIT
PK | AS45748 | PIA
PK | AS45773 | PERN AS Content Servie Provider
PK | AS45779 | IGI Financial Services
PK | AS45814 | Fariya Networks Pvt. Ltd.
PK | AS45939 | Foundation Securities (Private) Limited
PK | AS55340 | Telecard Limited
PK | AS55356 | Wateen Telecom (Pvt.) Ltd.
PK | AS55414 | Worldcall Telecom Ltd.
PK | AS55453 | SKYTELECOM
PK | AS55501 | 141-143 Maulana Shaukat Ali Road
PK | AS55534 | PPL
PK | AS55541 | MCB Bank Ltd
PK | AS55714 | Fiberlink Pvt.Ltd
PK | AS55816 | Bank Alfalah Limited
PK | AS56126 | UBL
PK | AS56167 | PTML
PK | AS56192 | KICT Customer Services Building
PK | AS58470 | IX Peering for Mobilink and Link Direct International.
PK | AS58506 | Head Office
PK | AS58515 | Allied Bank Limited
PK | AS58602 | i2c inc.
PK | AS58609 | Engro Corporation Limited
PK | AS58617 | TPL Trakker Ltd
PK | AS58746 | Cyber Internet Services Pakistan
PK | AS58876 | United Energy Pakistan Limited
PK | AS58893 | Gemnet Enterprise Solutions Pvt Ltd
PK | AS58895 | Ebone Network (PVT.) Limited
PK | AS58974 | IT. Division
PK | AS59254 | Brain Net
PK | AS59257 | CMPak Limited
PK | AS59323 | Punjab Information Technology Board
PK | AS63954 | Getz Pharma (Private) Limited
PK | AS64093 | Wise Communication Systems (Pvt) Limited
PK | AS131220 | FINCA Microfinance Bank Limited
PK | AS131275 | Logon Broadband Pvt. Limited
PK | AS131471 | Login.Me (Pvt) Ltd
PK | AS132103 | Bytenests Pvt Ltd
PK | AS132165 | Connect Communications
PK | AS132386 | Usman Internet Service Provider Private Limited
PK | AS132741 | National Communications Services (SMC-Private) Limited
PK | AS132788 | MOBILINK IT AS
PK | AS132872 | Data Check Limited
PK | AS132891 | SARFRAZ TEXTILE MILLS (PRIVATE) LIMITED
PK | AS133369 | Netpoint IT & Communications Pvt. Ltd
PK | AS133495 | Vision telecom Private limited
PK | AS133502 | Linkdotnet Telecom Limited
PK | AS133551 | OriginNet
PK | AS133932 | Chapal (Pvt.) Limited
PK | AS133933 | NetSat Private Limited
PK | AS134231 | Elite Communication Private Limited
PK | AS134357 | Fauji Fertilizer Company Limited
PK | AS134489 | S. B Link Network
PK | AS134596 | WICLOUD PVT LTD.
PK | AS134663 | I-WEB
PK | AS134737 | Net-Cloud Telecom Private Limited
PK | AS135003 | Multan Cable & Internet Services (Pvt) Ltd
PK | AS135046 | TAIZTEL (PRIVATE) LIMITED
PK | AS135115 | OCEAN FIBERS AND BROADBAND PRIVATE LIMITED
PK | AS135123 | Samba Bank Limited
PK | AS135384 | Khyber Internet Services Provider Pvt. Ltd.
PK | AS135407 | Trans World Enterprise Services (Private) Limited
PK | AS135523 | Multinet Broadband
PK | AS135567 | AirMax Private Limited
PK | AS135632 | Cactus Network Solutions (CNS) Pvt Ltd
PK | AS135660 | ROUTE 1 DIGITAL (PVT.) LIMITED
PK | AS135661 | Superior Connections private limited
PK | AS136012 | Telenor Microfinance Bank Limited
PK | AS136030 | Redtone Telecommunications Pakistan (Private) Limited
PK | AS136142 | Enigma Fiber Pvt Ltd
PK | AS136174 | The Professional Communications Pvt Ltd
PK | AS136184 | Y LINX (PVT.) LIMITED
PK | AS136225 | Smart Telecom
PK | AS136259 | FAYSAL BANK LIMITED
PK | AS136384 | Optix Pakistan (Pvt.) Limited
PK | AS136427 | MCB-ARIF HABIB SAVINGS AND INVESTMENTS LIMITED
PK | AS136525 | Wancom (Pvt) Ltd.
PK | AS136602 | Bank Al Habib Limited
PK | AS136610 | WideBand Communications(Pvt)Ltd
PK | AS136730 | INTERMARKET SECURITIES LIMITED
PK | AS136969 | KK Networks (Pvt) Ltd.
PK | AS136974 | Technology Communications & Supplies (Private) Limited
PK | AS137014 | Interwood Mobel Pvt Ltd
PK | AS137047 | TELECOMMUNICATION AND TECHNOLOGY MASTERS (PVT.) LIMITED
PK | AS137258 | Shirazi Investments Pvt Ltd.
PK | AS137265 | MCB Islamic Bank
PK | AS137273 | X1 NETWORKS (PRIVATE) LIMITED
PK | AS137430 | loomnet private limited
PK | AS137461 | The Bank of Punjab
PK | AS137481 | M3 Technologies Pakistan Pvt. Ltd
PK | AS137513 | HBL Bank Pvt Ltd.
PK | AS137561 | WAYLINK
PK | AS137910 | Wavecomm (Private) Limited
PK | AS138019 | Punjab Safe City Authority
PK | AS138039 | Broadband Business Ideas (PVT.) Limited
PK | AS138172 | Boom Info Tech (SMC-Pvt) Ltd
PK | AS138241 | Orient Express LDI Limited
PK | AS138324 | JHELUM NETWORKS PVT LTD
PK | AS138368 | INSTACOM Pvt. LTD
PK | AS138423 | CMPak Limited
PK | AS138424 | Federal Board of Revenue
PK | AS138426 | Absolute Solutions Pvt. Ltd.
PK | AS138432 | SKYWORLD TELECOMMUNICATIONS (PRIVATE) LIMITED
PK | AS138444 | K-Electric Limited
PK | AS138453 | GCS (Private) Limited
PK | AS138590 | Prime Networks
PK | AS138625 | Dreams Network & Technology Pvt Ltd
PK | AS138655 | Trans World Enterprise Services (Private) Limited
PK | AS138677 | Zeta Technologies (Pvt.) Limited
PK | AS138910 | N/A
PK | AS138926 | Netpoint IT & Communications Pvt. Ltd
PK | AS138955 | Brisktel Private Limited
PK | AS138985 | CITS PVT (LTD)
PK | AS139024 | Iqra University
PK | AS139043 | WellNetworks (Private) Limited
PK | AS139067 | Nayapay (Pvt.) Limited
PK | AS139087 | Fast Web & Wireless Communications (Pvt.) Limited
PK | AS139260 | u-blox Lahore Pvt Ltd.
PK | AS139292 | Jubilee Life Insurance
PK | AS139302 | Ashiq Cable Network (Pvt.) Limited
PK | AS139351 | AERO COMMUNICATIONS BROADBAND PVT. LTD
PK | AS139577 | Hispar Networks Pvt Ltd
PK | AS139718 | Tornado Networks (Pvt.) Limited
PK | AS139820 | HG TELECOMMUNICATION PRIVATE LIMITED
PK | AS139879 | Galaxy Broadband
PK | AS139925 | SharkNet Telecom Pvt. Ltd.
PK | AS140039 | Master Communication Pvt. Ltd.
PK | AS140045 | MultiCity Broad Band Pvt Ltd
PK | AS140100 | MAC WIFI NETWORKS (PRIVATE) LIMITED
PK | AS140210 | ConnectX
PK | AS140499 | Khan Telecom
PK | AS140526 | The Bank of Khyber
PK | AS140594 | New Pakistan Cable Network (Firm)
PK | AS140607 | Sign In (PVT) LTD
PK | AS140608 | SMART MULTIMEDIA (PRIVATE) LIMITED
PK | AS140900 | Getlinks (SMC-Private) Limited
PK | AS141008 | EFU LIFE Assurance Ltd
PK | AS141020 | Usman Haider & Company Private Limited
PK | AS141023 | HG TELECOMMUNICATION PRIVATE LIMITED
PK | AS141031 | Connect Communication
PK | AS141164 | Khadim Ali Shah Bukhari Securities (Private) Limited
PK | AS141212 | MyNet Broadband (Pvt.) Ltd
PK | AS141215 | Dotcom International Pvt. Limited
PK | AS141234 | Big Data Technologies Pvt Ltd
PK | AS141342 | FIBERISH (PVT) LTD
PK | AS141343 | Zeta Technologies (Pvt.) Limited
PK | AS141347 | 7 Star Telecom (Private) Limited
PK | AS141361 | Bliss Communication Network (Pvt) Ltd
PK | AS141369 | Meezan Bank Limited
PK | AS141372 | Logitech Cable (Private) Limited
PK | AS141377 | Faisal Cable Network (Pvt.) Limited
PK | AS141380 | New Millennium Network
PK | AS141395 | NETELASTIC TECHNOLOGIES (PRIVATE) LIMITED
PK | AS141421 | MUX BROADBAND (PRIVATE) LIMITED
PK | AS141431 | Call 2 Phone Private Limited
PK | AS141432 | Tzee's Multi Services (Pvt.) Limited
PK | AS141450 | Connect Communication
PK | AS141711 | Fiber Beam Pvt Limited
PK | AS141725 | SOLACE TEL (PVT.) LIMITED
PK | AS141778 | Dream Internet Services Pvt Ltd
PK | AS141990 | KHAZANA ENTERPRISE (PRIVATE) LIMITED
PK | AS142063 | Grand Tel Private Limited
PK | AS142120 | McSOL Pvt Ltd
PK | AS142127 | Fibercom Technologies (Private) Limited
PK | AS142179 | Indus Cloud Private Limited
PK | AS142247 | Tapsys Services (Private) Limited
PK | AS142274 | The Bank of Khyber
PK | AS142295 | Net Gate (Pvt) Ltd
PK | AS142421 | SKIF Enterprises Private Limited
PK | AS142552 | KCN
PK | AS142559 | Samz Broadband Networx ( SMC-PRIVATE ) LTD
PK | AS142618 | GH Telecom
PK | AS142647 | Nasstec Airnet Networks Private Limited
PK | AS147031 | Million Web Services Private Limited
PK | AS147055 | LMK Resources Pakistan (Private) Limited
PK | AS147057 | DNT Solutions
PK | AS147068 | National Rural Support Programme
PK | AS147302 | FALCON BROADBAND (PRIVATE) LIMITED
PK | AS147315 | Zero Time Networks (Pvt.) Ltd
PK | AS149009 | Dubai Sky Internet
PK | AS149012 | Systems Limited
PK | AS149021 | Inara Technologies Private Limited
PK | AS149023 | Ultra Quick (SMC-Private) Limited
PK | AS149280 | Duos Links Communication Pvt. Ltd
PK | AS149283 | Xtream Fiber Private Limited
PK | AS149307 | Gourmet Foods
PK | AS149419 | A.A Networks PVT Ltd
PK | AS149456 | Orbit Networks Private Limited
PK | AS149788 | UPNET (PRIVATE) LIMITED
PK | AS149792 | H H CABLE NETWORK (PRIVATE) LIMITED
PK | AS149844 | Connect Communication
PK | AS149870 | XTREME NET (PVT.) LIMITED
PK | AS149984 | PAYSYS LABS (PVT.) LIMITED
PK | AS149986 | DAUD AHMAD NETWORKS (PRIVATE) LIMITED
PK | AS150108 | TeleHouse Pvt Ltd
PK | AS150116 | ONETEN COMMUNICATION
PK | AS150129 | WaliTel
PK | AS150308 | CITY DOT NET
PK | AS150311 | LASERTEL PRIVATE LIMITED
PK | AS150315 | Virtury Cloud Private Limited
PK | AS150324 | DOTSIS NETWORK
PK | AS150371 | Pace Telecom and Brodcasting Private Limited
